Garden,WholePlotID,SplitPlotID,PlantID,Cyanotype,Cyanogenesis,Ac_ac,Li_li,Precipitation,Herbivores,Survived21,Flowered21,Seeded21,FlowerHeadNumber21,SeedSetMass21,MaxArea21,GrowthRate21,Herbivory21,SurvivedWinter,Survived22,Flowered22,Seeded22,FlowerHeadNumber22,SeedSetMass22,MaxArea22,GrowthRate22,Herbivory22
Ontario,1,1,1,AcLi,Cyanogenic,Ac,Li,Reduced,Reduced,1,1,1,52,1.914,1311.46,0.031852905,2.933333333,1,1,1,1,295,5.2451,1230.2,0.037713183,5.466666667
Ontario,1,1,2,Acli,Acyanogenic,Ac,li,Reduced,Reduced,1,1,1,69,1.5268,1899.29,0.041953969,0.666666667,1,1,1,1,357,4.6309,1152.99,0.049944862,5.533333333
Ontario,1,1,3,acLi,Acyanogenic,ac,Li,Reduced,Reduced,1,1,1,46,1.3322,1376.65,0.02722484,3.733333333,1,1,1,1,102,1.1511,402.08,0.070892958,6
Ontario,1,1,4,acli,Acyanogenic,ac,li,Reduced,Reduced,0,0,0,0,0,1.36,NA,NA,NA,NA,NA,NA,NA,NA,878.07,NA,NA
Ontario,1,2,1,AcLi,Cyanogenic,Ac,Li,Control,Reduced,1,1,1,90,4.2206,1860.38,0.035457439,2.066666667,1,1,1,1,537,11.4304,1109.36,0.00465272,3.6
Ontario,1,2,2,Acli,Acyanogenic,Ac,li,Control,Reduced,1,1,1,168,5.5843,1828.74,0.032493372,1.266666667,1,1,1,1,345,5.9245,993.82,0.028107464,5.466666667
Ontario,1,2,3,acLi,Acyanogenic,ac,Li,Control,Reduced,1,1,1,68,2.2603,2114.19,0.037723136,1.333333333,1,1,1,1,332,5.558,1093.55,0.062249481,4.733333333
Ontario,1,2,4,acli,Acyanogenic,ac,li,Control,Reduced,1,1,1,107,2.298,3193.13,0.04452838,0.666666667,1,1,1,1,637,4.6855,385.99,NA,11.46666667
Ontario,2,1,1,AcLi,Cyanogenic,Ac,Li,Reduced,Control,1,1,1,27,0.8452,1637.64,0.037052853,35.26666667,1,0,0,0,0,0,1.97,NA,NA
Ontario,2,1,2,Acli,Acyanogenic,Ac,li,Reduced,Control,1,1,1,1,0.0044,789.12,0.038592422,17,1,1,1,1,6,0.0046,286.56,0.086101283,14
Ontario,2,1,3,acLi,Acyanogenic,ac,Li,Reduced,Control,1,1,1,30,1.0545,1047.04,0.032411893,10.13333333,1,1,1,1,58,1.6734,252.38,0.043852885,12.93333333
Ontario,2,1,4,acli,Acyanogenic,ac,li,Reduced,Control,1,1,1,47,1.0835,1028.44,0.025565201,8.333333333,0,NA,NA,NA,NA,NA,NA,NA,NA
Ontario,2,2,1,AcLi,Cyanogenic,Ac,Li,Control,Control,1,1,1,31,0.551,1241.01,0.038321281,17.46666667,1,1,1,1,138,4.4456,21.37,NA,11.8
Ontario,2,2,2,Acli,Acyanogenic,Ac,li,Control,Control,1,1,1,26,0.6069,989.32,0.036739613,3,1,1,1,1,447,7.7409,1043.62,0.03796917,18.93333333
Ontario,2,2,3,acLi,Acyanogenic,ac,Li,Control,Control,1,1,1,15,0.2915,1318.46,0.028566357,8.666666667,1,1,1,1,2,0.138,NA,NA,36.13333333
Ontario,2,2,4,acli,Acyanogenic,ac,li,Control,Control,1,1,1,72,0.8029,1232.4,0.032390812,17.26666667,1,1,0,0,0,0,4.75,NA,NA
Ontario,3,1,1,AcLi,Cyanogenic,Ac,Li,Control,Reduced,1,1,1,3,0.0343,334.3,0.019022153,1.933333333,1,1,1,1,267,2.1384,1254.61,0.03328537,5.6
Ontario,3,1,2,Acli,Acyanogenic,Ac,li,Control,Reduced,1,0,0,0,0,198.62,0.019825399,0.733333333,1,1,1,1,98,1.3666,437.24,0.036124155,6.533333333
Ontario,3,1,3,acLi,Acyanogenic,ac,Li,Control,Reduced,1,1,1,3,0.0357,114.12,0.016401499,9,1,1,1,1,57,1.4907,337.86,0.047237771,12.66666667
Ontario,3,1,4,acli,Acyanogenic,ac,li,Control,Reduced,1,0,0,0,0,193.13,0.015904569,2.666666667,1,1,0,0,0,0,112.37,0.028245484,16.33333333
Ontario,3,2,1,AcLi,Cyanogenic,Ac,Li,Reduced,Reduced,1,0,0,0,0,198.22,0.02049485,NA,1,1,1,1,50,0.35,634.77,0.050969223,14
Ontario,3,2,2,Acli,Acyanogenic,Ac,li,Reduced,Reduced,1,0,0,0,0,72.67,0.008356205,0.133333333,1,1,1,1,8,0.2486,159.14,0.046244155,17.26666667
Ontario,3,2,3,acLi,Acyanogenic,ac,Li,Reduced,Reduced,1,0,0,0,0,45.09,NA,2.533333333,1,1,1,1,8,0.2539,85.88,0.032305604,15.33333333
Ontario,3,2,4,acli,Acyanogenic,ac,li,Reduced,Reduced,1,0,0,0,0,259.81,0.025819952,9.266666667,1,1,1,1,171,2.2643,417.9,0.033033619,13.93333333
Ontario,4,1,1,AcLi,Cyanogenic,Ac,Li,Reduced,Reduced,1,1,1,1,0.0031,216.1,0.01957226,2.2,1,1,1,1,186,0.7872,390.42,0.029512768,5.666666667
Ontario,4,1,2,Acli,Acyanogenic,Ac,li,Reduced,Reduced,1,1,1,27,0.2792,1441,NA,0.533333333,1,1,1,1,545,2.8579,904.49,0.011523769,2.266666667
Ontario,4,1,3,acLi,Acyanogenic,ac,Li,Reduced,Reduced,1,1,1,2,0.0293,259.49,0.02829177,14,1,1,0,0,0,0,109,0.023410713,22.66666667
Ontario,4,1,4,acli,Acyanogenic,ac,li,Reduced,Reduced,1,1,1,40,0.2409,727.39,0.029114282,8.866666667,1,1,1,1,41,0.1771,209.25,0.087397597,13.93333333
Ontario,4,2,1,AcLi,Cyanogenic,Ac,Li,Control,Reduced,1,1,1,9,0.3249,519.93,0.026206961,1.6,1,1,1,1,107,0.9172,1022.59,0.027885286,5.133333333
