ID,Feeds,Data type,Alt feeds,Percent alt,Sync feeds,Percent sync2mins,Carer status,CarerID,Total feed rate,Brood size,Carer number,Watch duration mins,Watch time,Brood age,Julian hatch date,AMax,Year,nest,Individual feed rate,RowRef
1994_01_10,9,Observed,8,88.88888889,4,44.44444444,Female,43,20.22471896,7,3,89.00000064,7.466666664,10,68,96.66666667,1994,1994_01,6.067415687,1
1994_01_10,10,Observed,9,90,6,60,Helper,7,20.22471896,7,3,89.00000064,7.466666664,10,68,96.66666667,1994,1994_01,6.741572985,2
1994_01_10,0,Observed,NA,NA,NA,NA,Helper,NA,20.22471896,7,3,89.00000064,7.466666664,10,68,96.66666667,1994,1994_01,NA,3
1994_01_10,0,Observed,NA,NA,NA,NA,Helper,NA,20.22471896,7,3,89.00000064,7.466666664,10,68,96.66666667,1994,1994_01,NA,4
1994_01_10,11,Observed,9,81.81818182,5,45.45454545,Male,4,20.22471896,7,3,89.00000064,7.466666664,10,68,96.66666667,1994,1994_01,7.415730284,5
1994_01_10,0,Expected,NA,NA,NA,NA,Helper,NA,20.22471896,7,3,89.00000064,7.466666664,10,68,96.66666667,1994,1994_01,NA,6
1994_01_10,9,Expected,8,88.88888889,4,44.44444444,Female,43,20.22471896,7,3,89.00000064,7.466666664,10,68,96.66666667,1994,1994_01,6.067415687,7
1994_01_10,10,Expected,8,80,3,30,Helper,7,20.22471896,7,3,89.00000064,7.466666664,10,68,96.66666667,1994,1994_01,6.741572985,8
1994_01_10,0,Expected,NA,NA,NA,NA,Helper,NA,20.22471896,7,3,89.00000064,7.466666664,10,68,96.66666667,1994,1994_01,NA,9
1994_01_10,11,Expected,7,63.63636364,3,27.27272727,Male,4,20.22471896,7,3,89.00000064,7.466666664,10,68,96.66666667,1994,1994_01,7.415730284,10
1994_01_11,7,Observed,7,100,6,85.71428571,Female,43,22.37288148,7,3,58.99999968,7.733333328,11,68,95.45454545,1994,1994_01,7.118644106,11
1994_01_11,0,Observed,NA,NA,NA,NA,Helper,NA,22.37288148,7,3,58.99999968,7.733333328,11,68,95.45454545,1994,1994_01,NA,12
